timestamp,model,query_id,status,tool_call_match,inference_not_empty,expected_tool_call,error
2025-06-06 22:05:41,meta-llama/Llama-3.2-3B-Instruct,what's_the_sum_of_5,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:41,meta-llama/Llama-3.2-3B-Instruct,add_105_and_72,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:42,meta-llama/Llama-3.2-3B-Instruct,can_you_tell_me_the,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:43,meta-llama/Llama-3.2-3B-Instruct,what's_2_plus_2?,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:45,meta-llama/Llama-3.2-3B-Instruct,combine_123_and_456,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:46,meta-llama/Llama-3.2-3B-Instruct,calculate_the_sum_of_99,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:47,meta-llama/Llama-3.2-3B-Instruct,find_the_total_if_i,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:49,meta-llama/Llama-3.2-3B-Instruct,what's_the_result_of_adding,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:50,meta-llama/Llama-3.2-3B-Instruct,sum_up_these_numbers:_7,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:51,meta-llama/Llama-3.2-3B-Instruct,give_me_the_combined_value,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:53,meta-llama/Llama-3.2-3B-Instruct,what_is_8_plus_9?,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:54,meta-llama/Llama-3.2-3B-Instruct,add_up_314_and_271,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:55,meta-llama/Llama-3.2-3B-Instruct,if_i_have_10_and,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:05:56,meta-llama/Llama-3.2-3B-Instruct,compute_the_sum_of_negative,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'meta-llama/Llama-3.2-3B-Instruct' not found
2025-06-06 22:07:05,ibm-granite/granite-3.2-8b-instruct,what's_the_sum_of_5,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'ibm-granite/granite-3.2-8b-instruct' not found
2025-06-06 22:07:06,ibm-granite/granite-3.2-8b-instruct,add_105_and_72,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'ibm-granite/granite-3.2-8b-instruct' not found
2025-06-06 22:07:07,ibm-granite/granite-3.2-8b-instruct,can_you_tell_me_the,FAILURE,False,False,add_two_numbers,Turn did not complete. Error: 400: Invalid value: Model 'ibm-granite/granite-3.2-8b-instruct' not found
